[Wed Apr 28 16:07:38 2021] 594 SIGUSR1 sent, 446 SIRUSR2 sent, 863 SIGUSR1 received, 446 SIGUSR2 received, avg 0.048 sec between SIGUSR1, avg 0.093 sec between SIGUSR2
[Wed Apr 28 16:07:38 2021] 604 SIGUSR1 sent, 446 SIRUSR2 sent, 873 SIGUSR1 received, 446 SIGUSR2 received, avg 0.048 sec between SIGUSR1, avg 0.094 sec between SIGUSR2
[Wed Apr 28 16:07:38 2021] 614 SIGUSR1 sent, 446 SIRUSR2 sent, 883 SIGUSR1 received, 446 SIGUSR2 received, avg 0.047 sec between SIGUSR1, avg 0.094 sec between SIGUSR2
[Wed Apr 28 16:07:38 2021] 624 SIGUSR1 sent, 446 SIRUSR2 sent, 893 SIGUSR1 received, 446 SIGUSR2 received, avg 0.047 sec between SIGUSR1, avg 0.094 sec between SIGUSR2
[Wed Apr 28 16:07:38 2021] 634 SIGUSR1 sent, 446 SIRUSR2 sent, 903 SIGUSR1 received, 446 SIGUSR2 received, avg 0.047 sec between SIGUSR1, avg 0.094 sec between SIGUSR2
[Wed Apr 28 16:07:38 2021] 644 SIGUSR1 sent, 446 SIRUSR2 sent, 913 SIGUSR1 received, 446 SIGUSR2 received, avg 0.046 sec between SIGUSR1, avg 0.095 sec between SIGUSR2
[Wed Apr 28 16:07:39 2021] 653 SIGUSR1 sent, 447 SIRUSR2 sent, 922 SIGUSR1 received, 447 SIGUSR2 received, avg 0.046 sec between SIGUSR1, avg 0.095 sec between SIGUSR2
[Wed Apr 28 16:07:39 2021] 653 SIGUSR1 sent, 457 SIRUSR2 sent, 922 SIGUSR1 received, 457 SIGUSR2 received, avg 0.046 sec between SIGUSR1, avg 0.093 sec between SIGUSR2
[Wed Apr 28 16:07:39 2021] 653 SIGUSR1 sent, 467 SIRUSR2 sent, 922 SIGUSR1 received, 467 SIGUSR2 received, avg 0.047 sec between SIGUSR1, avg 0.092 sec between SIGUSR2
[Wed Apr 28 16:07:39 2021] 653 SIGUSR1 sent, 477 SIRUSR2 sent, 922 SIGUSR1 received, 477 SIGUSR2 received, avg 0.047 sec between SIGUSR1, avg 0.091 sec between SIGUSR2
[Wed Apr 28 16:07:40 2021] 658 SIGUSR1 sent, 482 SIRUSR2 sent, 927 SIGUSR1 received, 482 SIGUSR2 received, avg 0.047 sec between SIGUSR1, avg 0.090 sec between SIGUSR2
[Wed Apr 28 16:07:40 2021] 668 SIGUSR1 sent, 482 SIRUSR2 sent, 937 SIGUSR1 received, 482 SIGUSR2 received, avg 0.047 sec between SIGUSR1, avg 0.091 sec between SIGUSR2
[Wed Apr 28 16:07:41 2021] 675 SIGUSR1 sent, 485 SIRUSR2 sent, 944 SIGUSR1 received, 485 SIGUSR2 received, avg 0.047 sec between SIGUSR1, avg 0.092 sec between SIGUSR2
[Wed Apr 28 16:07:41 2021] 675 SIGUSR1 sent, 495 SIRUSR2 sent, 944 SIGUSR1 received, 495 SIGUSR2 received, avg 0.048 sec between SIGUSR1, avg 0.091 sec between SIGUSR2
[Wed Apr 28 16:07:42 2021] 681 SIGUSR1 sent, 499 SIRUSR2 sent, 950 SIGUSR1 received, 499 SIGUSR2 received, avg 0.048 sec between SIGUSR1, avg 0.092 sec between SIGUSR2
[Wed Apr 28 16:07:43 2021] 691 SIGUSR1 sent, 499 SIRUSR2 sent, 960 SIGUSR1 received, 499 SIGUSR2 received, avg 0.049 sec between SIGUSR1, avg 0.094 sec between SIGUSR2
[Wed Apr 28 16:07:44 2021] 698 SIGUSR1 sent, 502 SIRUSR2 sent, 967 SIGUSR1 received, 502 SIGUSR2 received, avg 0.049 sec between SIGUSR1, avg 0.095 sec between SIGUSR2
[Wed Apr 28 16:07:44 2021] 698 SIGUSR1 sent, 512 SIRUSR2 sent, 967 SIGUSR1 received, 512 SIGUSR2 received, avg 0.049 sec between SIGUSR1, avg 0.093 sec between SIGUSR2
[Wed Apr 28 16:07:44 2021] 698 SIGUSR1 sent, 522 SIRUSR2 sent, 967 SIGUSR1 received, 522 SIGUSR2 received, avg 0.050 sec between SIGUSR1, avg 0.092 sec between SIGUSR2
[Wed Apr 28 16:07:44 2021] 698 SIGUSR1 sent, 532 SIRUSR2 sent, 967 SIGUSR1 received, 532 SIGUSR2 received, avg 0.050 sec between SIGUSR1, avg 0.090 sec between SIGUSR2
[Wed Apr 28 16:07:45 2021] 698 SIGUSR1 sent, 542 SIRUSR2 sent, 967 SIGUSR1 received, 542 SIGUSR2 received, avg 0.050 sec between SIGUSR1, avg 0.089 sec between SIGUSR2
[Wed Apr 28 16:07:45 2021] 708 SIGUSR1 sent, 542 SIRUSR2 sent, 977 SIGUSR1 received, 542 SIGUSR2 received, avg 0.050 sec between SIGUSR1, avg 0.090 sec between SIGUSR2
[Wed Apr 28 16:07:45 2021] 718 SIGUSR1 sent, 542 SIRUSR2 sent, 987 SIGUSR1 received, 542 SIGUSR2 received, avg 0.050 sec between SIGUSR1, avg 0.091 sec between SIGUSR2
[Wed Apr 28 16:07:46 2021] 724 SIGUSR1 sent, 546 SIRUSR2 sent, 993 SIGUSR1 received, 546 SIGUSR2 received, avg 0.050 sec between SIGUSR1, avg 0.091 sec between SIGUSR2
[Wed Apr 28 16:07:46 2021] 724 SIGUSR1 sent, 556 SIRUSR2 sent, 993 SIGUSR1 received, 556 SIGUSR2 received, avg 0.050 sec between SIGUSR1, avg 0.090 sec between SIGUSR2
